Portfolio,Open,High,Low,Close,Adj Close,Volume
Bitcoin,16476199219,16537900391,14208200195,15170099609,15170099609,18413899776
Bitcoin,15123700195,15497500000,14424000000,14595400391,14595400391,16659999744
Bitcoin,14588500000,14973299805,13691200195,14973299805,14973299805,18500800512
Bitcoin,14968200195,15018799805,13105900391,13405799805,13405799805,16534099968
Bitcoin,13453900391,14229900391,13158099609,13980599609,13980599609,12065699840
Bitcoin,13836099609,13843099609,10194900391,11490500000,11490500000,18853799936
Bitcoin,11431099609,11678000000,9402290039,11188599609,11188599609,18830600192
Bitcoin,11198799805,12107299805,10942500000,11474900391,11474900391,15020399616
Bitcoin,11429799805,11992799805,11172099609,11607400391,11607400391,10740400128
Bitcoin,11633099609,11966400391,10240200195,10931400391,10931400391,10537400320
Bitcoin,10944500000,11377599609,10129700195,10868400391,10868400391,9660609536
Bitcoin,10903400391,11501400391,10639799805,11359400391,11359400391,9940989952
Bitcoin,11421700195,11785700195,11057400391,11259400391,11259400391,8873169920
Bitcoin,11256000000,11656700195,10470299805,11171400391,11171400391,9746199552
Bitcoin,11755500000,11875599609,11179200195,11296400391,11296400391,7107359744
Bitcoin,11306799805,11307200195,10036200195,10106299805,10106299805,8637859840
Bitcoin,10108200195,10381599609,9777419922,10221099609,10221099609,8041160192
Bitcoin,10237299805,10288799805,8812280273,9170540039,9170540039,9959400448
Bitcoin,9142280273,9142280273,7796490234,8830750000,8830750000,12726899712
Bitcoin,8270540039,8364839844,6756680176,6955270020,6955270020,9285289984
Bitcoin,7051750000,7850700195,6048259766,7754000000,7754000000,13999800320
Bitcoin,7755490234,8509110352,7236790039,7621299805,7621299805,9169280000
Bitcoin,7637859863,8558769531,7637859863,8265589844,8265589844,9346750464
Bitcoin,8271839844,8736980469,7884709961,8736980469,8736980469,6784820224
Bitcoin,8141430176,8985919922,8141430176,8926570313,8926570313,6256439808
Bitcoin,8926719727,8958469727,8455410156,8598309570,8598309570,5696719872
Bitcoin,8599919922,9518540039,8599919922,9494629883,9494629883,7909819904
Bitcoin,9488320313,10234799805,9395580078,10166400391,10166400391,9062540288
Bitcoin,10135700195,10324099609,9824820313,10233900391,10233900391,7296159744
Bitcoin,11231799805,11958500000,11231799805,11403700195,11403700195,9926540288
Bitcoin,11372200195,11418500000,10479099609,10690400391,10690400391,9405339648
Bitcoin,10660400391,11039099609,9939089844,10005000000,10005000000,8040079872
Bitcoin,9937070313,10487299805,9734559570,10301099609,10301099609,7739500032
Bitcoin,9669429688,10475000000,9501730469,10366700195,10366700195,7287690240
Bitcoin,10393900391,10878500000,10246099609,10725599609,10725599609,6966179840
Bitcoin,10687200195,11089799805,10393099609,10397900391,10397900391,6936189952
Bitcoin,10385000000,11052299805,10352700195,10951000000,10951000000,7317279744
Bitcoin,10977400391,11189000000,10850099609,11086400391,11086400391,7620590080
Bitcoin,11532400391,11704099609,11443900391,11573299805,11573299805,6468539904
Bitcoin,11500099609,11500099609,10694299805,10779900391,10779900391,6832169984
Bitcoin,10803900391,10929500000,9692120117,9965570313,9965570313,8797910016
Bitcoin,9951440430,10147400391,9335870117,9395009766,9395009766,7186089984
Bitcoin,9414690430,9466349609,8513030273,9337549805,9337549805,8704190464
