Currency;Country;Label;Value
AED;Emiratos Árabes Unidos;11-3-2017;34.6328
AED;Emiratos Árabes Unidos;18-3-2017;36.95870677
AED;Emiratos Árabes Unidos;25-3-2017;19.66550352
AED;Emiratos Árabes Unidos;1-4-2017;62.25533716
AED;Emiratos Árabes Unidos;8-4-2017;48.38579529
AED;Emiratos Árabes Unidos;15-4-2017;28.99117015
AED;Emiratos Árabes Unidos;22-4-2017;74.14588811
AED;Emiratos Árabes Unidos;29-4-2017;83.60553229
AED;Emiratos Árabes Unidos;6-5-2017;45.23654219
AED;Emiratos Árabes Unidos;13-5-2017;45.84500501
AED;Emiratos Árabes Unidos;20-5-2017;37.67688635
AED;Emiratos Árabes Unidos;27-5-2017;23.91567431
AED;Emiratos Árabes Unidos;3-6-2017;45.44703546
AED;Emiratos Árabes Unidos;10-6-2017;41.45005345
AED;Emiratos Árabes Unidos;17-6-2017;43.44132029
AED;Emiratos Árabes Unidos;24-6-2017;53.53188795
AED;Emiratos Árabes Unidos;1-7-2017;39.69340108
AED;Emiratos Árabes Unidos;8-7-2017;25.07380347
AED;Emiratos Árabes Unidos;15-7-2017;42.09592811
AED;Emiratos Árabes Unidos;22-7-2017;44.45827339
AED;Emiratos Árabes Unidos;29-7-2017;31.7340505
AED;Emiratos Árabes Unidos;5-8-2017;29.98937669
AED;Emiratos Árabes Unidos;12-8-2017;73.21645867
AED;Emiratos Árabes Unidos;19-8-2017;55.81564483
AED;Emiratos Árabes Unidos;26-8-2017;32.5088103
AED;Emiratos Árabes Unidos;2-9-2017;53.16272498
AED;Emiratos Árabes Unidos;9-9-2017;69.82010214
AED;Emiratos Árabes Unidos;16-9-2017;109.1986167
AED;Emiratos Árabes Unidos;23-9-2017;63.2677097
AED;Emiratos Árabes Unidos;30-9-2017;81.96156836
AED;Emiratos Árabes Unidos;7-10-2017;56.24872495
AED;Emiratos Árabes Unidos;14-10-2017;117.4142608
AED;Emiratos Árabes Unidos;21-10-2017;47.03294463
AED;Emiratos Árabes Unidos;28-10-2017;45.54133108
AED;Emiratos Árabes Unidos;4-11-2017;120.3878333
AED;Emiratos Árabes Unidos;11-11-2017;49.20978479
AED;Emiratos Árabes Unidos;18-11-2017;58.01894093
AED;Emiratos Árabes Unidos;25-11-2017;67.4746778
AED;Emiratos Árabes Unidos;2-12-2017;50.5886256
AED;Emiratos Árabes Unidos;9-12-2017;78.77994314
AED;Emiratos Árabes Unidos;16-12-2017;83.47741501
AED;Emiratos Árabes Unidos;23-12-2017;68.33758668
AED;Emiratos Árabes Unidos;30-12-2017;88.81948619
AED;Emiratos Árabes Unidos;6-1-2018;97.0798906
AED;Emiratos Árabes Unidos;13-1-2018;103.1575732
AED;Emiratos Árabes Unidos;20-1-2018;110.9896168
AED;Emiratos Árabes Unidos;27-1-2018;82.79837105
AED;Emiratos Árabes Unidos;3-2-2018;108.6146879
AED;Emiratos Árabes Unidos;10-2-2018;95.53997157
AED;Emiratos Árabes Unidos;17-2-2018;76.51769211
AED;Emiratos Árabes Unidos;24-2-2018;58.51624396
AED;Emiratos Árabes Unidos;3-3-2018;42.40080311
AED;Emiratos Árabes Unidos;10-3-2018;59.25440339
AED;Emiratos Árabes Unidos;17-3-2018;78.23990839
AED;Emiratos Árabes Unidos;24-3-2018;60.4755141
AED;Emiratos Árabes Unidos;31-3-2018;52.49577421
AED;Emiratos Árabes Unidos;7-4-2018;93.08162728
AED;Emiratos Árabes Unidos;14-4-2018;62.83946895
AED;Emiratos Árabes Unidos;21-4-2018;46.86884406
AED;Emiratos Árabes Unidos;28-4-2018;59.06809487
